[INFO] [1783994370.773448118] [apriltag.apriltag]: camera_diag: img_age=0.066901s, ci_age=0.066901s, img_ci_skew=0.000000s, detect_ms=6.348476, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994372.843406109] [apriltag.apriltag]: camera_diag: img_age=0.066473s, ci_age=0.066473s, img_ci_skew=0.000000s, detect_ms=8.000834, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994373.842213513] [apriltag.apriltag]: camera_diag: img_age=0.066280s, ci_age=0.066280s, img_ci_skew=0.000000s, detect_ms=6.068338, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994375.174779032] [apriltag.apriltag]: camera_diag: img_age=0.066181s, ci_age=0.066181s, img_ci_skew=0.000000s, detect_ms=4.281894, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994376.245293792] [apriltag.apriltag]: camera_diag: img_age=0.066389s, ci_age=0.066389s, img_ci_skew=0.000000s, detect_ms=6.878746, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994378.580572169] [apriltag.apriltag]: camera_diag: img_age=0.066446s, ci_age=0.066446s, img_ci_skew=0.000000s, detect_ms=6.627379, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994379.579324837] [apriltag.apriltag]: camera_diag: img_age=0.066439s, ci_age=0.066439s, img_ci_skew=0.000000s, detect_ms=4.590550, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994380.581942332] [apriltag.apriltag]: camera_diag: img_age=0.066436s, ci_age=0.066436s, img_ci_skew=0.000000s, detect_ms=6.292010, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994381.584293651] [apriltag.apriltag]: camera_diag: img_age=0.066268s, ci_age=0.066268s, img_ci_skew=0.000000s, detect_ms=7.852554, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
[INFO] [1783994385.922134389] [apriltag.apriltag]: camera_diag: img_age=0.066529s, ci_age=0.066529s, img_ci_skew=0.000000s, detect_ms=8.251519, raw_det=1, kept_det=1, tf=1, tf_children=[camera_color_optical_frame->object], img_frame=camera_color_optical_frame, ci_frame=camera_color_optical_frame
